Church,Status,Survey,Lights,Renovated,lon,lat
Alboga,colony,80's,not,FALSE,13.23153452323782,57.97260605
Berg,colony,80's,not,FALSE,13.773517286322207,58.4998865
Binneberg,no bats,80's,not,FALSE,13.8652122,58.5208509
Bjärklunda,colony,80's,not,FALSE,13.441878530143423,58.314007700000005
Blidsberg,colony,80's,not,FALSE,13.492642155594297,57.92699045
Broddarp,colony,80's,not,FALSE,13.29460520343402,57.99554825
Broddetorp,used,80's,not,FALSE,13.610129705659379,58.307725000000005
Brunn,colony,80's,not,FALSE,13.3688601,57.7971366
Bällefors,colony,80's,not,FALSE,14.089292,58.5873004
Böne,colony,80's,not,FALSE,13.516279351179652,57.88268885
Dala,used,80's,not,FALSE,13.786314430887806,58.251744450000004
Dannike,colony,80's,not,FALSE,13.2284248,57.6835646
Ekby,colony,80's,not,FALSE,13.8668352,58.6131806
Eriksberg nya,colony,80's,not,FALSE,13.274846326306456,58.026683500000004
Finnekumla,colony,80's,not,FALSE,13.3474452,57.6553695
Grönahög,colony,80's,not,FALSE,13.595880574845326,57.665332199999995
Gudhem,colony,80's,not,FALSE,13.554821082764505,58.2399805
Gullered,no bats,80's,not,FALSE,13.594672186807612,57.80012925
Gällstad,colony,80's,not,FALSE,13.4304443,57.6645675
Gökhem,colony,80's,not,FALSE,13.407750682218701,58.1737462
Halna,colony,80's,not,FALSE,14.2378684,58.6561237
Horn,colony,80's,not,FALSE,13.8942452,58.5211152
Humla,colony,80's,not,FALSE,13.520095782156133,57.95875865
Husaby,colony,80's,not,FALSE,13.379932110572337,58.52521315
Hångsdala,colony,80's,not,FALSE,13.78447411434967,58.11640205
Hössna,no bats,80's,not,FALSE,13.537208720529929,57.82531185
Kinne-Kleva,colony,80's,not,FALSE,13.417246149175583,58.54342235
Kinneved,colony,80's,not,FALSE,13.515633263949521,58.06825885
Knätte,colony,80's,not,FALSE,13.553628760213318,57.859763900000004
Kymbo,colony,80's,not,FALSE,13.7774772,58.0820803
Kärråkra,used,80's,not,FALSE,13.363501762402267,57.96197155
Kölaby,colony,80's,not,FALSE,13.53609054273399,57.9821046
Kölingared,used,80's,not,FALSE,13.66834432876161,57.909543299999996
Lerdala,no bats,80's,not,FALSE,13.7168068,58.4778861
Liared,no bats,80's,not,FALSE,13.647282915805288,57.83923835
Luttra,no bats,80's,not,FALSE,13.564101616867852,58.13197615
Låstad,no bats,80's,not,FALSE,13.7956205,58.5486637
Norra Lundby,no bats,80's,not,FALSE,13.62054851810129,58.375552049999996
Marbäck,used,80's,not,FALSE,13.415621,57.743821
Murum,colony,80's,not,FALSE,13.286423745054561,57.9189544
Nittorp,colony,80's,not,FALSE,13.498764,57.5508626
Näs,no bats,80's,not,FALSE,13.738436617169581,58.0851993
Skälvum,no bats,80's,not,FALSE,13.4055769,58.51095855
Skölvene,colony,80's,not,FALSE,13.152029330357141,58.0203245
Solberga,colony,80's,not,FALSE,13.608722328225806,57.98912375
Strängsered,no bats,80's,not,FALSE,13.678266974607222,57.77545245
Södra Ving,colony,80's,not,FALSE,13.2814907,57.8375984
Sörby,colony,80's,not,FALSE,13.372715610704498,58.143796550000005
Tidavad,no bats,80's,not,FALSE,13.8541023,58.5832724
Torbjörntorp,used,80's,not,FALSE,13.598383614942446,58.211735700000006
Tvärred,colony,80's,not,FALSE,13.3140671,57.7257001
Undenäs,used,80's,not,FALSE,14.39900893676815,58.6587622
Utby,used,80's,not,FALSE,13.893892,58.6436706
Valstad,colony,80's,not,FALSE,13.814284405325846,58.1237094
Varv,no bats,80's,not,FALSE,13.81020635974783,58.195121799999995
Varnum,colony,80's,not,FALSE,13.1456004,57.8271171
Vist,no bats,80's,not,FALSE,13.409792716535863,57.814737699999995
Öglunda,no bats,80's,not,FALSE,13.6906352,58.4334502
Öra,used,80's,not,FALSE,13.335558340322995,57.98262185
Östra Tunhem,colony,80's,not,FALSE,13.53049033128651,58.22429245
Acklinga,colony,2016,half,NA,13.87729989650838,58.197204400000004
Alboga,colony,2016,half,FALSE,13.23153452323782,57.97260605
Berg,no bats,2016,full,FALSE,13.773517286322207,58.4998865
Binneberg,no bats,2016,not,FALSE,13.8652122,58.5208509
Bjurum,used,2016,full,NA,13.492826473946687,58.26946675
Bjärklunda,colony,2016,not,FALSE,13.441878530143423,58.314007700000005
Blidsberg,colony,2016,not,FALSE,13.492642155594297,57.92699045
Borgunda,colony,2016,half,NA,13.799373991591377,58.294183700000005
Brismene,used,2016,not,NA,13.449159519525107,58.02081815
Broddarp,colony,2016,not,FALSE,13.29460520343402,57.99554825
Broddetorp,used,2016,full,FALSE,13.610129705659379,58.307725000000005
Brunn,colony,2016,half,FALSE,13.3688601,57.7971366
Bällefors,colony,2016,not,FALSE,14.089292,58.5873004
Böja,no bats,2016,half,NA,13.7758969,58.5542352
Böne,no bats,2016,half,FALSE,13.516279351179652,57.88268885
Dala,used,2016,not,FALSE,13.786314430887806,58.251744450000004
Dalum,colony,2016,not,NA,13.478282005101565,57.89965024999999
Dannike,no bats,2016,full,FALSE,13.2284248,57.6835646
Ek,colony,2016,not,NA,13.8159524,58.6149822
Ekby,colony,2016,full,FALSE,13.8668352,58.6131806
Ekeskog,no bats,2016,not,NA,14.1464104,58.599668
Eriksberg nya,no bats,2016,full,TRUE,13.274846326306456,58.026683500000004
Eriksberg ga,no bats,2016,not,NA,13.271509895242914,58.0302801
Finnekumla,colony,2016,not,FALSE,13.3474452,57.6553695
Fivlered,no bats,2016,not,NA,13.658152780006859,57.946647150000004
Forshem,used,2016,half,NA,13.490089275470883,58.61980165
Forsvik,colony,2016,not,NA,14.4343682,58.5872252
Frösve,used,2016,not,NA,13.8777147,58.5019486
Fägre,colony,2016,not,NA,14.0843231,58.636645
Grönahög,colony,2016,not,TRUE,13.595880574845326,57.665332199999995
Gudhem,no bats,2016,full,FALSE,13.554821082764505,58.2399805
Gullered,colony,2016,half,TRUE,13.594672186807612,57.80012925
Gällstad,colony,2016,half,FALSE,13.4304443,57.6645675
Gökhem,no bats,2016,not,TRUE,13.407750682218701,58.1737462
Halna,colony,2016,not,FALSE,14.2378684,58.6561237
Hangelösa,colony,2016,not,NA,13.329140711310245,58.47313095
Hjälstad,used,2016,half,NA,14.011269,58.6074773
Holmestad,no bats,2016,half,NA,13.570210191480324,58.54282345
Horn,colony,2016,not,FALSE,13.8942452,58.5211152
Humla,no bats,2016,half,TRUE,13.520095782156133,57.95875865
Husaby,colony,2016,half,FALSE,13.379932110572337,58.52521315
Håkantorp,colony,2016,not,NA,13.604084429134078,58.2554971
Hångsdala,colony,2016,not,FALSE,13.78447411434967,58.11640205
Hössna,no bats,2016,full,TRUE,13.537208720529929,57.82531185
Jäla,used,2016,not,NA,13.359688446136012,58.019250549999995
Kestad,no bats,2016,half,NA,13.45011934368452,58.56540575
Kinne-Kleva,colony,2016,not,FALSE,13.417246149175583,58.54342235
Kinne-Vedum,no bats,2016,not,NA,13.506161001465074,58.5586921
Kinneved,colony,2016,half,FALSE,13.515633263949521,58.06825885
Knätte,no bats,2016,full,FALSE,13.553628760213318,57.859763900000004
Kungslena,no bats,2016,not,NA,13.8053908,58.2273698
Kymbo,no bats,2016,half,FALSE,13.7774772,58.0820803
Källby,colony,2016,not,NA,13.329927768926554,58.50802285
Kärråkra,used,2016,not,FALSE,13.363501762402267,57.96197155
Kölaby,no bats,2016,full,FALSE,13.53609054273399,57.9821046
Kölingared,used,2016,half,FALSE,13.66834432876161,57.909543299999996
Lerdala,no bats,2016,half,FALSE,13.7168068,58.4778861
Liared,no bats,2016,full,FALSE,13.647282915805288,57.83923835
Lugnås,used,2016,half,NA,13.7203638,58.6137942
Luttra,no bats,2016,full,TRUE,13.564101616867852,58.13197615
Låstad,no bats,2016,not,FALSE,13.7956205,58.5486637
Norra Lundby,no bats,2016,not,FALSE,13.62054851810129,58.375552049999996
Marbäck,no bats,2016,full,FALSE,13.415621,57.743821
Marka,no bats,2016,full,NA,13.480197876038805,58.158898300000004
Medelplana,colony,2016,not,NA,13.371696745382032,58.5780887
Mjäldrunga,no bats,2016,not,NA,13.245783350793651,58.0755482
Molla,no bats,2016,not,NA,13.0414407,57.9301207
Mularp,colony,2016,not,NA,13.707463564110288,58.16167135
Murum,no bats,2016,half,TRUE,13.286423745054561,57.9189544
Mölltorp,no bats,2016,not,NA,14.4064973,58.4942996
Möne,used,2016,half,NA,13.3808753,57.9256799
Nittorp,no bats,2016,half,TRUE,13.498764,57.5508626
Näs,no bats,2016,half,FALSE,13.738436617169581,58.0851993
Od,no bats,2016,half,NA,13.187461204912935,57.9432666
Odensåker,used,2016,not,NA,13.8838119,58.5538472
Ova,used,2016,not,NA,13.400772,58.4785912
Segerstad,used,2016,not,NA,13.66723153759543,58.2590124
Skälvum,no bats,2016,not,FALSE,13.4055769,58.51095855
Skeby,colony,2016,not,NA,13.315415280057913,58.49452215
Skölvene,colony,2016,half,TRUE,13.152029330357141,58.0203245
Slöta,colony,2016,half,NA,13.625504384295095,58.1139883
Solberga,colony,2016,not,FALSE,13.608722328225806,57.98912375
Strängsered,no bats,2016,full,TRUE,13.678266974607222,57.77545245
Suntak nya,colony,2016,not,NA,13.872330783221624,58.126564650000006
Suntak gamla,no bats,2016,not,NA,13.868739319511839,58.1288603
Sveneby,colony,2016,not,NA,13.9457929,58.5959155
Södra Ving,colony,2016,full,FALSE,13.2814907,57.8375984
Sörby,colony,2016,not,FALSE,13.372715610704498,58.143796550000005
Tiarp,used,2016,not,NA,13.720887000000012,58.19406585
Tidavad,no bats,2016,not,TRUE,13.8541023,58.5832724
Timmersdala,no bats,2016,half,NA,13.764616099836557,58.52640435
Torbjörntorp,used,2016,not,FALSE,13.598383614942446,58.211735700000006
Trästena,used,2016,not,NA,14.0293937,58.6462254
Tvärred,colony,2016,half,FALSE,13.3140671,57.7257001
Undenäs,used,2016,half,FALSE,14.39900893676815,58.6587622
Utby,used,2016,not,FALSE,13.893892,58.6436706
Valstad,colony,2016,half,FALSE,13.814284405325846,58.1237094
Varv,no bats,2016,not,FALSE,13.81020635974783,58.195121799999995
Varnum,no bats,2016,full,FALSE,13.1456004,57.8271171
Vesene,used,2016,half,NA,13.008644444200804,57.94906975
Vist,no bats,2016,full,FALSE,13.409792716535863,57.814737699999995
Vistorp,used,2016,half,NA,13.693839353556216,58.013353949999996
Vårkumla,no bats,2016,full,NA,13.559402649999999,58.07331785
Vättak,no bats,2016,full,NA,13.8638005,58.0875678
Yllestad,colony,2016,not,NA,13.714481384649911,58.0522073
Öglunda,no bats,2016,not,TRUE,13.6906352,58.4334502
Öra,used,2016,half,FALSE,13.335558340322995,57.98262185
Östra Tunhem,no bats,2016,full,FALSE,13.53049033128651,58.22429245
